" ... Done "," ... fertig"
" ... Fail "," ... fehlgeschlagen"
"About","Info"
"Account","Konto"
"Account deleted","Konto gelöscht"
"Account Information","Kontoinformation"
"Account Saved","Konto gespeichert"
"Account:","Konto:"
"Add Account","Konto hinzufügen"
"Add Listing","Auktion hinzufügen"
"Add Listing Template","Neue Auktionsvorlage"
"Add Products To Listing","Produkte hinzufügen"
"Add Template","Vorlage hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attachments:","Anhänge:"
"Bundle Products","Gebündelte Produkte"
"Buyer","Käufer"
"Buyer Information","Käuferinformation"
"""Buy It Now"" Price:","""Sofortkaufen""-Preis:"
"Calculated","berechnet"
"Calculated Shipping","berechneter Versand"
"Categories","Kategorien"
"Category Synchronization","Kategorien synchronisieren"
"Change Synchronization","Synchronisation ändern"
"Check & Update eBay Feedbacks Periodically:","Prüfe und aktualisiere eBay Bewertungen regelmäßig:"
"Check & Update eBay Categories:","Prüfe und aktualisiere eBay Kategorien regelmäßig:"
"Check & Update eBay Categories Periodically:","Prüfe und aktualisiere eBay:"
"Check & Update eBay Layout Templates:","Prüfe und aktualisiere eBay Designvorlagen:"
"Check Installation Of M2E","Installationsstatus"
"Check Installation Status","Installationsstatus"
"Checkout:","Kasse"
"Clean started! Please wait...","Reinigung wird durchgeführt! Bitte warten..."
"Clear All","Alle löschen"
"Completed","komplett"
"Configurable Products","Konfigurierbare Produkte"
"Configuration","Konfiguration"
"Contact Form:","Kontaktformular:"
"Contacts:","Kontakte:"
"Cost","Kosten"
"Created Invoice for Order","Neue Rechnung wurde erstellt"
"Created new Order","Neue Bestellung angelegt"
"Created Shipping for Order","Versand wurde gestartet"
"Creation Date","Erstellt am"
"Currency:","Währung:"
"Custom","Eigenes"
"Custom Attribute","Eigenes Attribut"
"Custom Description","Eigene Beschreibung"
"Custom Options","Individuelle Optionen"
"Custom QTY Attribute","Eigenes Mengenattribut"
"Custom Start Price Attribute","Eigenes Startpreisattribut"
"Custom Subitle","Eigener Untername"
"Custom Title","Eigener Name"
"Custom Value","Eigener Wert"
"Custom Variation Price Attribute:","Eigenes Preisattribut für Variation"
"Customer Name","Kundenname"
"Defect","Defekt"
"Delete","Löschen"
"Description","Beschreibung"
"Description Template Layout","Designvorlage"
"Description Templates","Designvorlagen"
"Description Text:","Beschreibung:"
"Description:","Beschreibung:"
"Dispatch Settings","Bearbeitungszeit:"
"Domestic Shipping","Versand ins Inland"
"eBay","eBay"
"eBay Account","eBay Konto"
"eBay Accounts","eBay Konten"
"eBay Categories Synchronization","eBay Kategorien synchronisieren"
"eBay Category Source:","eBay Kategorien:"
"eBay Feedback Synchronization","eBay Bewertungen synchronisieren"
"eBay Layout Templates Synchronization","eBay Designvorlagen synchronisieren"
"eBay Recommended","eBay Vorschlag"
"eBay Shipping","eBay Versand"
"eBay Store","eBay Shop"
"eBay Transaction","eBay Transaktion"
"eBay Transactions","eBay Transaktions"
"Edit","bearbeiten"
"Edit Account Information","bearbeite Kontoinformationen"
"Edit Item '%s'","Bearbeite Artikel '%s'"
"Edit Template","Vorlage bearbeiten"
"Element not found","Element nicht gefunden"
"Email","E-Mail"
"Enable log cleaning:","Protokollreinigung aktivieren:"
"Environment","Umgebung"
"Error calculate clear time","Fehler: Speicherwert. Code ="
"Error save synchronize log into DB","Fehler: Synchronisationsprotokoll konnte nicht in der Datenbank gespeichert werden"
"Error save value. Code = ","Fehler: Speicherwert. Code ="
"Extention License Key","Modul Lizenzschlüssel"
"Fail","Fehler"
"Feature Request","Wünsche & Anregungen"
"Feedback","Bewertung"
"Feedbacks","Bewertungen"
"Free","Kostenlos"
"General","Generell"
"Get Token","Seriennummer generieren"
"Get User Token","Benutzer Seriennummer generieren"
"Grand Total","Gesamtsumme"
"Guest","Gast"
"Guest Customer","Gast"
"Here is no Recommended Values","Keine empfohlenen Werte"
"Image Attribute","Bild Attribut"
"Image(s) Height","Bild(er) Höhe"
"Image(s) linked to Original","Bild(er) verknüpft zum Original"
"Image(s) Margin","Bild(er) Abstand"
"Image(s) Width","Bild(er) Breite"
"Images Layout","Bild Layout"
"Images Layout","Bild Layout"
"Import completed","Import erfolgreich"
"Import Orders:","Aufträge importieren:"
"Imported Customer","importierte Kunden"
"Incompleted","unvollständig"
"Info","Info"
"Inquiry","Erkundigung"
